algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
bfs|openmp|mx350|10000x30000|4|8,383524|0,0|43,44|OK
bfs|openmp|mx350|10000x30000|5|8,906043|0,0|45,86|OK
bfs|openmp|mx350|10000x30000|6|0,872288|0,0|4,13|OK
bfs|openmp|mx350|10000x30000|7|9,091498|0,0|46,96|OK
bfs|openmp|mx350|10000x30000|8|9,386962|0,0|48,34|OK
bfs|openmp|mx350|10000x30000|9|8,980388|0,0|46,27|OK
bfs|openmp|mx350|10000x30000|10|8,404326|0,0|43,28|OK
bfs|openmp|mx350|500000x1000000|1|828,091694|0,0|39,8|OK
bfs|openmp|mx350|500000x1000000|2|750,400883|0,0|630,83|OK
bfs|openmp|mx350|500000x1000000|3|705,054388|0,0|446,33|OK
bfs|openmp|mx350|500000x1000000|4|64,433498|0,0|288,16|OK
bfs|openmp|mx350|500000x1000000|5|739,682644|0,0|621,35|OK
bfs|openmp|mx350|500000x1000000|6|39,560805|0,0|172,23|OK
bfs|openmp|mx350|500000x1000000|7|742,628021|0,0|627,69|OK
bfs|openmp|mx350|500000x1000000|8|845,203615|0,0|95,93|OK
bfs|openmp|mx350|500000x1000000|9|728,042818|0,0|548,58|OK
bfs|openmp|mx350|500000x1000000|10|787,587372|0,0|844,86|OK
mergesort|cuda|mx350|100|1|0,169009|0,0|1,52|OK
mergesort|cuda|mx350|100|2|0,17265|0,0|1,14|OK
mergesort|cuda|mx350|100|3|0,172835|0,0|1,06|OK
mergesort|cuda|mx350|100|4|0,168201|0,0|1,05|OK
mergesort|cuda|mx350|100|5|0,153376|0,0|1,0|OK
mergesort|cuda|mx350|100|6|0,157417|0,0|0,99|OK
mergesort|cuda|mx350|100|7|0,156356|0,0|1,05|OK
mergesort|cuda|mx350|100|8|0,167445|0,0|1,12|OK
mergesort|cuda|mx350|100|9|0,157043|0,0|1,16|OK
mergesort|cuda|mx350|100|10|0,152197|0,0|1,13|OK
mergesort|cuda|mx350|10000|1|7,969875|0,0|25,19|OK
mergesort|cuda|mx350|10000|2|7,971409|0,0|25,17|OK
mergesort|cuda|mx350|10000|3|7,972783|0,0|25,05|OK
mergesort|cuda|mx350|10000|4|7,972057|0,0|24,3|OK
mergesort|cuda|mx350|10000|5|7,976118|0,0|24,06|OK
mergesort|cuda|mx350|10000|6|7,982303|0,0|24,15|OK
mergesort|cuda|mx350|10000|7|7,984958|0,0|23,74|OK
mergesort|cuda|mx350|10000|8|7,980905|0,0|24,01|OK
mergesort|cuda|mx350|10000|9|7,973835|0,0|23,46|OK
mergesort|cuda|mx350|10000|10|7,960951|0,0|23,5|OK
mergesort|cuda|mx350|100000|1|74,29509|0,0|205,67|OK
mergesort|cuda|mx350|100000|2|74,3128|0,0|203,63|OK
mergesort|cuda|mx350|100000|3|74,30856|0,0|206,9|OK
mergesort|cuda|mx350|100000|4|74,315381|0,0|205,58|OK
mergesort|cuda|mx350|100000|5|74,313326|0,0|204,59|OK
mergesort|cuda|mx350|100000|6|74,330353|0,0|204,75|OK
mergesort|cuda|mx350|100000|7|74,310524|0,0|203,37|OK
mergesort|cuda|mx350|100000|8|74,308569|0,0|206,09|OK
mergesort|cuda|mx350|100000|9|74,280322|0,0|205,72|OK
mergesort|cuda|mx350|100000|10|74,316718|0,0|204,41|OK
mergesort|cuda_dp|mx350|100|1|0,668539|0,0|4,32|OK
mergesort|cuda_dp|mx350|100|2|0,714734|0,0|4,71|OK
mergesort|cuda_dp|mx350|100|3|0,678362|0,0|3,84|OK
mergesort|cuda_dp|mx350|100|4|0,727556|0,0|4,34|OK
mergesort|cuda_dp|mx350|100|5|0,616426|0,0|3,51|OK
mergesort|cuda_dp|mx350|100|6|0,72675|0,0|3,55|OK
mergesort|cuda_dp|mx350|100|7|0,650599|0,0|3,62|OK
mergesort|cuda_dp|mx350|100|8|0,707327|0,0|3,5|OK
mergesort|cuda_dp|mx350|100|9|0,688453|0,0|4,71|OK
mergesort|cuda_dp|mx350|100|10|0,693216|0,0|4,32|OK
mergesort|cuda_dp|mx350|10000|1|4742,091341|0,0|362,71|OK
mergesort|cuda_dp|mx350|10000|2|4753,160155|0,0|29,44|OK
mergesort|cuda_dp|mx350|10000|3|4749,301465|0,0|944,47|OK
mergesort|cuda_dp|mx350|10000|4|4674,87617|0,0|366,2|OK
mergesort|cuda_dp|mx350|10000|5|4752,296919|0,0|345,34|OK
mergesort|cuda_dp|mx350|10000|6|4749,638683|0,0|872,08|OK
mergesort|cuda_dp|mx350|10000|7|4651,193538|0,0|762,97|OK
mergesort|cuda_dp|mx350|10000|8|4796,123066|0,0|191,33|OK
mergesort|cuda_dp|mx350|10000|9|4753,693765|0,0|1,63|OK
mergesort|cuda_dp|mx350|10000|10|4705,029626|0,0|866,78|OK
mergesort|cuda_dp|mx350|100000|1|11935,727615|0,0|475,52|OK
mergesort|cuda_dp|mx350|100000|2|11902,356596|0,0|723,47|OK
mergesort|cuda_dp|mx350|100000|3|12011,021306|0,0|442,99|OK
mergesort|cuda_dp|mx350|100000|4|11995,605467|0,0|786,31|OK
mergesort|cuda_dp|mx350|100000|5|12000,394201|0,0|971,93|OK
mergesort|cuda_dp|mx350|100000|6|12029,575539|0,0|57,59|OK
mergesort|cuda_dp|mx350|100000|7|11863,978854|0,0|603,44|OK
mergesort|cuda_dp|mx350|100000|8|12019,326162|0,0|662,27|OK
mergesort|cuda_dp|mx350|100000|9|11990,703634|0,0|515,21|OK
mergesort|cuda_dp|mx350|100000|10|11909,078856|0,0|493,18|OK
mergesort|openmp|mx350|100|1|0,134012|0,0|0,73|OK
mergesort|openmp|mx350|100|2|0,28514|0,0|1,35|OK
mergesort|openmp|mx350|100|3|0,084432|0,0|0,4|OK
mergesort|openmp|mx350|100|4|0,195438|0,0|0,9|OK
mergesort|openmp|mx350|100|5|0,089123|0,0|0,43|OK
mergesort|openmp|mx350|100|6|0,117737|0,0|0,58|OK
mergesort|openmp|mx350|100|7|0,472306|0,0|2,51|OK
mergesort|openmp|mx350|100|8|0,699785|0,0|4,08|OK
mergesort|openmp|mx350|100|9|2,880346|0,0|17,13|OK
mergesort|openmp|mx350|100|10|0,19963|0,0|1,11|OK
mergesort|openmp|mx350|10000|1|10,837252|0,0|63,78|OK
mergesort|openmp|mx350|10000|2|14,800086|0,0|85,62|OK
mergesort|openmp|mx350|10000|3|8,420313|0,0|48,61|OK
mergesort|openmp|mx350|10000|4|7,204094|0,0|41,65|OK
mergesort|openmp|mx350|10000|5|10,046642|0,0|59,83|OK
mergesort|openmp|mx350|10000|6|7,273812|0,0|41,31|OK
mergesort|openmp|mx350|10000|7|8,378435|0,0|47,42|OK
mergesort|openmp|mx350|10000|8|7,21556|0,0|40,96|OK
mergesort|openmp|mx350|10000|9|7,331021|0,0|41,8|OK
mergesort|openmp|mx350|10000|10|7,11407|0,0|41,38|OK
mergesort|openmp|mx350|100000|1|73,013875|0,0|421,21|OK
mergesort|openmp|mx350|100000|2|70,375521|0,0|388,03|OK
mergesort|openmp|mx350|100000|3|67,088374|0,0|346,83|OK
mergesort|openmp|mx350|100000|4|67,891438|0,0|354,13|OK
mergesort|openmp|mx350|100000|5|68,697602|0,0|359,62|OK
mergesort|openmp|mx350|100000|6|68,945338|0,0|362,14|OK
mergesort|openmp|mx350|100000|7|67,883092|0,0|349,26|OK
mergesort|openmp|mx350|100000|8|67,655952|0,0|349,64|OK
mergesort|openmp|mx350|100000|9|66,56814|0,0|344,9|OK
mergesort|openmp|mx350|100000|10|68,87415|0,0|359,05|OK
quicksort|cuda|mx350|100|1|0,464393|0,0|2,0|OK
quicksort|cuda|mx350|100|2|0,542303|0,0|2,43|OK
quicksort|cuda|mx350|100|3|0,282514|0,0|1,52|OK
quicksort|cuda|mx350|100|4|0,481337|0,0|2,31|OK
quicksort|cuda|mx350|100|5|0,472863|0,0|2,04|OK
quicksort|cuda|mx350|100|6|0,372252|0,0|1,8|OK
quicksort|cuda|mx350|100|7|0,255431|0,0|1,29|OK
quicksort|cuda|mx350|100|8|0,296236|0,0|1,47|OK
quicksort|cuda|mx350|100|9|0,388902|0,0|1,71|OK
quicksort|cuda|mx350|100|10|0,397732|0,0|1,82|OK
quicksort|cuda|mx350|10000|1|14,211197|0,0|40,4|OK
quicksort|cuda|mx350|10000|2|13,012734|0,0|37,73|OK
quicksort|cuda|mx350|10000|3|13,543264|0,0|37,98|OK
quicksort|cuda|mx350|10000|4|13,8582|0,0|39,95|OK
quicksort|cuda|mx350|10000|5|11,463462|0,0|33,08|OK
quicksort|cuda|mx350|10000|6|10,364715|0,0|30,52|OK
quicksort|cuda|mx350|10000|7|14,622804|0,0|41,96|OK
quicksort|cuda|mx350|10000|8|16,081574|0,0|45,77|OK
quicksort|cuda|mx350|10000|9|14,655829|0,0|42,39|OK
quicksort|cuda|mx350|10000|10|15,115516|0,0|43,8|OK
quicksort|cuda|mx350|100000|1|143,422201|0,0|396,4|OK
quicksort|cuda|mx350|100000|2|123,87755|0,0|346,61|OK
quicksort|cuda|mx350|100000|3|139,79545|0,0|384,36|OK
quicksort|cuda|mx350|100000|4|147,262619|0,0|405,98|OK
quicksort|cuda|mx350|100000|5|100,273822|0,0|275,38|OK
quicksort|cuda|mx350|100000|6|83,59043|0,0|232,56|OK
quicksort|cuda|mx350|100000|7|115,515032|0,0|316,62|OK
quicksort|cuda|mx350|100000|8|138,581981|0,0|380,98|OK
quicksort|cuda|mx350|100000|9|105,484652|0,0|291,57|OK
quicksort|cuda|mx350|100000|10|95,537825|0,0|533,83|OK
quicksort|cuda_dp|mx350|100|1|1,152852|0,0|5,96|OK
quicksort|cuda_dp|mx350|100|2|1,205104|0,0|6,18|OK
quicksort|cuda_dp|mx350|100|3|1,176976|0,0|5,82|OK
quicksort|cuda_dp|mx350|100|4|1,195235|0,0|5,92|OK
quicksort|cuda_dp|mx350|100|5|1,328658|0,0|6,52|OK
quicksort|cuda_dp|mx350|100|6|1,738224|0,0|8,02|OK
quicksort|cuda_dp|mx350|100|7|1,022292|0,0|5,22|OK
