algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
mergesort|cuda|jetson_agx_orin|100|2|0,222281|1,4239|1,0682|OK
mergesort|cuda|jetson_agx_orin|100|3|0,227762|1,4588|0,8204|OK
mergesort|cuda|jetson_agx_orin|100|4|0,232214|1,4873|0,7435|OK
mergesort|cuda|jetson_agx_orin|100|5|0,223884|1,434|0,6273|OK
mergesort|cuda|jetson_agx_orin|100|6|0,224679|1,4391|0,6296|OK
mergesort|cuda|jetson_agx_orin|100|7|0,21846|1,3992|0,6121|OK
mergesort|cuda|jetson_agx_orin|100|8|0,232525|1,4893|0,6515|OK
mergesort|cuda|jetson_agx_orin|100|9|0,22783|1,4593|0,6384|OK
mergesort|cuda|jetson_agx_orin|100|10|0,228757|1,4652|0,641|OK
mergesort|cuda|jetson_agx_orin|10000|1|5,727336|38,9296|11,7301|OK
mergesort|cuda|jetson_agx_orin|10000|2|5,727588|38,9759|11,5509|OK
mergesort|cuda|jetson_agx_orin|10000|3|5,726855|38,9706|11,0552|OK
mergesort|cuda|jetson_agx_orin|10000|4|5,721777|38,9364|11,4044|OK
mergesort|cuda|jetson_agx_orin|10000|5|5,729262|38,9758|11,1945|OK
mergesort|cuda|jetson_agx_orin|10000|6|5,743973|39,0874|11,1186|OK
mergesort|cuda|jetson_agx_orin|10000|7|5,713722|38,8819|10,9851|OK
mergesort|cuda|jetson_agx_orin|10000|8|5,732955|39,0128|10,676|OK
mergesort|cuda|jetson_agx_orin|10000|9|5,709289|38,8579|10,3296|OK
mergesort|cuda|jetson_agx_orin|10000|10|5,71557|38,8959|10,0378|OK
mergesort|cuda|jetson_agx_orin|100000|1|59,874584|407,4448|99,307|OK
mergesort|cuda|jetson_agx_orin|100000|2|59,909278|407,7397|98,3277|OK
mergesort|cuda|jetson_agx_orin|100000|3|59,814674|407,0541|97,8619|OK
mergesort|cuda|jetson_agx_orin|100000|4|59,772542|406,8056|97,7715|OK
mergesort|cuda|jetson_agx_orin|100000|5|59,939433|407,9187|98,9242|OK
mergesort|cuda|jetson_agx_orin|100000|6|59,853368|407,3069|98,01|OK
mergesort|cuda|jetson_agx_orin|100000|7|59,940692|408,0176|98,1515|OK
mergesort|cuda|jetson_agx_orin|100000|8|59,858876|407,4211|98,4333|OK
mergesort|cuda|jetson_agx_orin|100000|9|59,773757|406,7833|97,9133|OK
mergesort|cuda|jetson_agx_orin|100000|10|59,852689|407,4092|98,3175|OK
mergesort|openmp|jetson_agx_orin|100|1|0,126327|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|2|0,074499|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|3|0,054663|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|4|0,07897|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|5|0,128898|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|6|0,087384|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|7|0,054704|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|8|0,039203|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|100|9|0,19376|1,0854|1,3955|OK
mergesort|openmp|jetson_agx_orin|100|10|0,077451|N/A|N/A|OK
mergesort|openmp|jetson_agx_orin|10000|1|2,357269|13,2064|15,3784|OK
mergesort|openmp|jetson_agx_orin|10000|2|2,323329|13,0153|14,8778|OK
mergesort|openmp|jetson_agx_orin|10000|3|2,323092|13,014|14,8766|OK
mergesort|openmp|jetson_agx_orin|10000|4|2,358415|13,2149|15,1042|OK
mergesort|openmp|jetson_agx_orin|10000|5|2,389283|13,3883|15,0156|OK
mergesort|openmp|jetson_agx_orin|10000|6|2,319914|12,9964|14,8521|OK
mergesort|openmp|jetson_agx_orin|10000|7|2,343061|13,1258|14,9555|OK
mergesort|openmp|jetson_agx_orin|10000|8|2,346667|13,1463|15,0745|OK
mergesort|openmp|jetson_agx_orin|10000|9|2,296191|12,8658|14,7071|OK
mergesort|openmp|jetson_agx_orin|10000|10|2,374507|13,3063|15,2087|OK
mergesort|openmp|jetson_agx_orin|100000|1|22,869549|128,1281|138,1038|OK
mergesort|openmp|jetson_agx_orin|100000|2|22,958652|128,6481|138,5408|OK
mergesort|openmp|jetson_agx_orin|100000|3|22,88474|128,2066|137,927|OK
mergesort|openmp|jetson_agx_orin|100000|4|22,970552|128,6948|138,3962|OK
mergesort|openmp|jetson_agx_orin|100000|5|22,859433|128,0585|137,7593|OK
mergesort|openmp|jetson_agx_orin|100000|6|22,882258|128,1883|138,088|OK
mergesort|openmp|jetson_agx_orin|100000|7|22,823846|127,861|137,8166|OK
mergesort|openmp|jetson_agx_orin|100000|8|22,828413|127,8963|137,7499|OK
mergesort|openmp|jetson_agx_orin|100000|9|22,880675|128,1782|138,0703|OK
mergesort|openmp|jetson_agx_orin|100000|10|22,956961|128,6099|138,7657|OK
quicksort|cuda|jetson_agx_orin|100|1|0,59548|3,9728|1,3901|OK
quicksort|cuda|jetson_agx_orin|100|2|0,412646|2,643|0,9908|OK
quicksort|cuda|jetson_agx_orin|100|3|0,412161|2,6401|0,99|OK
quicksort|cuda|jetson_agx_orin|100|4|0,624131|3,998|1,4992|OK
quicksort|cuda|jetson_agx_orin|100|5|0,616872|3,9511|1,4817|OK
quicksort|cuda|jetson_agx_orin|100|6|0,601177|3,8986|1,4439|OK
quicksort|cuda|jetson_agx_orin|100|7|0,625205|4,0049|1,5017|OK
quicksort|cuda|jetson_agx_orin|100|8|0,567373|3,6352|1,3628|OK
quicksort|cuda|jetson_agx_orin|100|9|0,574018|3,6768|1,4709|OK
quicksort|cuda|jetson_agx_orin|100|10|0,500174|3,2036|1,2414|OK
quicksort|cuda|jetson_agx_orin|10000|1|11,490763|78,0648|21,092|OK
quicksort|cuda|jetson_agx_orin|10000|2|10,695273|72,7441|19,2896|OK
quicksort|cuda|jetson_agx_orin|10000|3|13,569067|92,3238|25,0778|OK
quicksort|cuda|jetson_agx_orin|10000|4|10,853717|73,8325|20,1135|OK
quicksort|cuda|jetson_agx_orin|10000|5|13,782927|93,8335|24,5328|OK
quicksort|cuda|jetson_agx_orin|10000|6|11,013007|74,8714|20,6061|OK
quicksort|cuda|jetson_agx_orin|10000|7|11,765791|80,034|21,7144|OK
quicksort|cuda|jetson_agx_orin|10000|8|15,298976|104,1392|26,5227|OK
quicksort|cuda|jetson_agx_orin|10000|9|11,715157|79,6761|21,0319|OK
quicksort|cuda|jetson_agx_orin|10000|10|9,111408|61,9774|16,7521|OK
quicksort|cuda|jetson_agx_orin|100000|1|137,95706|938,9114|226,2988|OK
quicksort|cuda|jetson_agx_orin|100000|2|139,661014|950,4039|228,9944|OK
quicksort|cuda|jetson_agx_orin|100000|3|119,828229|815,3398|196,3619|OK
quicksort|cuda|jetson_agx_orin|100000|4|120,516918|820,126|197,8916|OK
quicksort|cuda|jetson_agx_orin|100000|5|149,438964|1016,9418|244,7831|OK
quicksort|cuda|jetson_agx_orin|100000|6|121,452738|826,4801|200,3166|OK
quicksort|cuda|jetson_agx_orin|100000|7|120,14566|817,713|197,0892|OK
quicksort|cuda|jetson_agx_orin|100000|8|96,146359|654,239|158,0427|OK
quicksort|cuda|jetson_agx_orin|100000|9|120,030113|816,7648|197,2219|OK
quicksort|cuda|jetson_agx_orin|100000|10|168,899853|1149,2689|277,2522|OK
quicksort|openmp|jetson_agx_orin|100|1|0,014611|N/A|N/A|OK
quicksort|openmp|jetson_agx_orin|100|2|0,043214|N/A|N/A|OK
quicksort|openmp|jetson_agx_orin|100|3|0,017376|N/A|N/A|OK
quicksort|openmp|jetson_agx_orin|100|4|0,027106|N/A|N/A|OK
quicksort|openmp|jetson_agx_orin|100|5|0,035481|N/A|N/A|OK
quicksort|openmp|jetson_agx_orin|100|6|0,037325|N/A|N/A|OK
quicksort|openmp|jetson_agx_orin|100|7|0,070391|N/A|N/A|OK
quicksort|openmp|jetson_agx_orin|100|8|0,015892|N/A|N/A|OK
quicksort|openmp|jetson_agx_orin|100|9|0,013238|N/A|N/A|OK
quicksort|openmp|jetson_agx_orin|100|10|0,01267|N/A|N/A|OK
quicksort|openmp|jetson_agx_orin|10000|1|0,661328|3,7048|5,0807|OK
quicksort|openmp|jetson_agx_orin|10000|2|0,712511|3,9915|6,2257|OK
quicksort|openmp|jetson_agx_orin|10000|3|0,560257|3,1388|5,044|OK
quicksort|openmp|jetson_agx_orin|10000|4|0,644831|3,6123|5,9344|OK
quicksort|openmp|jetson_agx_orin|10000|5|0,518919|2,907|4,6718|OK
quicksort|openmp|jetson_agx_orin|10000|6|0,531839|2,9794|4,7881|OK
quicksort|openmp|jetson_agx_orin|10000|7|0,549706|3,0795|4,894|OK
quicksort|openmp|jetson_agx_orin|10000|8|0,64129|3,5925|5,6453|OK
quicksort|openmp|jetson_agx_orin|10000|9|0,61388|3,439|5,5022|OK
quicksort|openmp|jetson_agx_orin|10000|10|0,387749|2,1722|3,6202|OK
quicksort|openmp|jetson_agx_orin|100000|1|3,175046|17,7873|25,6426|OK
quicksort|openmp|jetson_agx_orin|100000|2|3,131907|17,5468|23,8192|OK
quicksort|openmp|jetson_agx_orin|100000|3|3,694131|20,6945|28,1337|OK
quicksort|openmp|jetson_agx_orin|100000|4|2,996217|16,7848|23,4717|OK
quicksort|openmp|jetson_agx_orin|100000|5|2,861247|16,0287|23,1732|OK
quicksort|openmp|jetson_agx_orin|100000|6|3,264993|18,2905|26,3232|OK
quicksort|openmp|jetson_agx_orin|100000|7|3,630135|20,336|27,8352|OK
quicksort|openmp|jetson_agx_orin|100000|8|3,308694|18,5362|26,4407|OK
quicksort|openmp|jetson_agx_orin|100000|9|3,530666|19,7823|28,121|OK
quicksort|openmp|jetson_agx_orin|100000|10|2,95131|16,5332|25,3015|OK
sssp|cuda|jetson_agx_orin|100000x300000|1|2,993511|39,0995|7,3653|OK
sssp|cuda|jetson_agx_orin|100000x300000|2|2,891422|39,5722|6,631|OK
sssp|cuda|jetson_agx_orin|100000x300000|3|3,104671|42,6693|7,3628|OK
sssp|cuda|jetson_agx_orin|100000x300000|4|3,085627|43,2768|7,4553|OK
sssp|cuda|jetson_agx_orin|100000x300000|5|3,280226|46,1317|7,3949|OK
sssp|cuda|jetson_agx_orin|100000x300000|6|3,12732|43,2746|7,1962|OK
sssp|cuda|jetson_agx_orin|100000x300000|7|2,930196|40,8303|7,1661|OK
sssp|cuda|jetson_agx_orin|100000x300000|8|2,869013|40,1478|6,6238|OK
sssp|cuda|jetson_agx_orin|100000x300000|9|2,896582|40,4032|6,955|OK
sssp|cuda|jetson_agx_orin|100000x300000|10|0,211431|2,3274|0,5076|OK
sssp|cuda|jetson_agx_orin|10000x30000|1|1,293047|9,7045|3,2342|OK
sssp|cuda|jetson_agx_orin|10000x30000|2|1,293464|10,1399|3,1488|OK
sssp|cuda|jetson_agx_orin|10000x30000|3|1,439857|11,3466|3,4571|OK
sssp|cuda|jetson_agx_orin|10000x30000|4|1,377162|10,7685|3,434|OK
sssp|cuda|jetson_agx_orin|10000x30000|5|1,51828|11,9779|3,6889|OK
sssp|cuda|jetson_agx_orin|10000x30000|6|1,428749|11,2178|3,4304|OK
sssp|cuda|jetson_agx_orin|10000x30000|7|1,405592|11,0802|3,3748|OK
sssp|cuda|jetson_agx_orin|10000x30000|8|1,618492|12,7418|4,0158|OK
sssp|cuda|jetson_agx_orin|10000x30000|9|1,476157|11,6364|3,5443|OK
sssp|cuda|jetson_agx_orin|10000x30000|10|1,460786|11,4703|3,5073|OK
sssp|cuda|jetson_agx_orin|1000x4000|1|1,416172|9,8113|3,4876|OK
sssp|cuda|jetson_agx_orin|1000x4000|2|1,022173|6,7742|2,4998|OK
sssp|cuda|jetson_agx_orin|1000x4000|3|1,036029|6,8844|2,4875|OK
sssp|cuda|jetson_agx_orin|1000x4000|4|1,166897|7,8134|2,8017|OK
sssp|cuda|jetson_agx_orin|1000x4000|5|1,079008|7,2125|2,5907|OK
sssp|cuda|jetson_agx_orin|1000x4000|6|1,024349|6,7865|2,6419|OK
sssp|cuda|jetson_agx_orin|1000x4000|7|1,081082|7,1838|2,5957|OK
sssp|cuda|jetson_agx_orin|1000x4000|8|0,885466|5,8485|2,126|OK
sssp|cuda|jetson_agx_orin|1000x4000|9|1,071975|7,0804|2,5738|OK
sssp|cuda|jetson_agx_orin|1000x4000|10|0,094451|0,605|0,2268|OK
sssp|cuda|jetson_agx_orin|200000x400000|1|5,795361|80,014|12,3246|OK
sssp|cuda|jetson_agx_orin|200000x400000|2|5,179586|73,3358|11,1753|OK
sssp|cuda|jetson_agx_orin|200000x400000|3|0,636445|7,0484|1,5281|OK
sssp|cuda|jetson_agx_orin|200000x400000|4|0,322756|3,0146|0,8612|OK
sssp|cuda|jetson_agx_orin|200000x400000|5|0,320741|2,7819|1,027|OK
sssp|cuda|jetson_agx_orin|200000x400000|6|6,000337|81,8037|13,1619|OK
sssp|cuda|jetson_agx_orin|200000x400000|7|5,804185|81,1875|12,4626|OK
sssp|cuda|jetson_agx_orin|200000x400000|8|5,186014|71,7781|11,0856|OK
sssp|cuda|jetson_agx_orin|200000x400000|9|5,524529|78,0143|12,0427|OK
sssp|cuda|jetson_agx_orin|200000x400000|10|6,420182|88,9589|13,7931|OK
sssp|openmp|jetson_agx_orin|100000x300000|1|12,727907|76,434|141,09|OK
sssp|openmp|jetson_agx_orin|100000x300000|2|11,841675|71,1088|136,2892|OK
sssp|openmp|jetson_agx_orin|100000x300000|3|12,438491|74,6828|139,3725|OK
sssp|openmp|jetson_agx_orin|100000x300000|4|0,544125|3,2125|5,7182|OK
sssp|openmp|jetson_agx_orin|100000x300000|5|0,595404|3,3366|5,5771|OK
sssp|openmp|jetson_agx_orin|100000x300000|6|13,735088|82,4224|150,4233|OK
sssp|openmp|jetson_agx_orin|100000x300000|7|12,793226|76,8212|146,1028|OK
sssp|openmp|jetson_agx_orin|100000x300000|8|13,220758|79,3778|146,0881|OK
sssp|openmp|jetson_agx_orin|100000x300000|9|13,873568|83,2979|155,186|OK
sssp|openmp|jetson_agx_orin|100000x300000|10|13,238911|79,4869|149,6774|OK
sssp|openmp|jetson_agx_orin|10000x30000|1|1,194539|7,0772|11,6686|OK
sssp|openmp|jetson_agx_orin|10000x30000|2|1,143993|6,8708|11,7562|OK
