sep=|
algoritmo|api|cenario|tamanho|iteracao|tempo_s|corretude|threads_blocos
bitonic_sort|openmp|aleatorio|1024|2|0,001162|1|32x1
bitonic_sort|openmp|aleatorio|1024|3|0,001162|1|32x1
bitonic_sort|openmp|aleatorio|1024|4|0,001192|1|32x1
bitonic_sort|openmp|aleatorio|1024|5|0,001174|1|32x1
bitonic_sort|openmp|aleatorio|1024|6|0,001165|1|32x1
bitonic_sort|openmp|aleatorio|1024|7|0,001163|1|32x1
bitonic_sort|openmp|aleatorio|1024|8|0,001168|1|32x1
bitonic_sort|openmp|aleatorio|1024|9|0,001183|1|32x1
bitonic_sort|openmp|aleatorio|1024|10|0,001166|1|32x1
bitonic_sort|openmp|aleatorio|4096|1|0,001720|1|32x1
bitonic_sort|openmp|aleatorio|4096|2|0,001855|1|32x1
bitonic_sort|openmp|aleatorio|4096|3|0,001767|1|32x1
bitonic_sort|openmp|aleatorio|4096|4|0,001834|1|32x1
bitonic_sort|openmp|aleatorio|4096|5|0,001708|1|32x1
bitonic_sort|openmp|aleatorio|4096|6|0,001702|1|32x1
bitonic_sort|openmp|aleatorio|4096|7|0,001703|1|32x1
bitonic_sort|openmp|aleatorio|4096|8|0,001701|1|32x1
bitonic_sort|openmp|aleatorio|4096|9|0,001710|1|32x1
bitonic_sort|openmp|aleatorio|4096|10|0,001702|1|32x1
bitonic_sort|openmp|aleatorio|16384|1|0,002559|1|32x1
bitonic_sort|openmp|aleatorio|16384|2|0,002591|1|32x1
bitonic_sort|openmp|aleatorio|16384|3|0,002545|1|32x1
bitonic_sort|openmp|aleatorio|16384|4|0,002387|1|32x1
bitonic_sort|openmp|aleatorio|16384|5|0,002386|1|32x1
bitonic_sort|openmp|aleatorio|16384|6|0,002390|1|32x1
bitonic_sort|openmp|aleatorio|16384|7|0,002371|1|32x1
bitonic_sort|openmp|aleatorio|16384|8|0,002394|1|32x1
bitonic_sort|openmp|aleatorio|16384|9|0,002391|1|32x1
bitonic_sort|openmp|aleatorio|16384|10|0,002356|1|32x1
bitonic_sort|openmp|aleatorio|65536|1|0,003437|1|32x1
bitonic_sort|openmp|aleatorio|65536|2|0,003415|1|32x1
bitonic_sort|openmp|aleatorio|65536|3|0,003431|1|32x1
bitonic_sort|openmp|aleatorio|65536|4|0,003373|1|32x1
bitonic_sort|openmp|aleatorio|65536|5|0,003414|1|32x1
bitonic_sort|openmp|aleatorio|65536|6|0,003383|1|32x1
bitonic_sort|openmp|aleatorio|65536|7|0,003396|1|32x1
bitonic_sort|openmp|aleatorio|65536|8|0,003391|1|32x1
bitonic_sort|openmp|aleatorio|65536|9|0,003481|1|32x1
bitonic_sort|openmp|aleatorio|65536|10|0,003415|1|32x1
bitonic_sort|openmp|aleatorio|262144|1|0,007597|1|32x1
bitonic_sort|openmp|aleatorio|262144|2|0,007574|1|32x1
bitonic_sort|openmp|aleatorio|262144|3|0,007562|1|32x1
bitonic_sort|openmp|aleatorio|262144|4|0,007535|1|32x1
bitonic_sort|openmp|aleatorio|262144|5|0,007549|1|32x1
bitonic_sort|openmp|aleatorio|262144|6|0,007561|1|32x1
bitonic_sort|openmp|aleatorio|262144|7|0,007557|1|32x1
bitonic_sort|openmp|aleatorio|262144|8|0,007643|1|32x1
bitonic_sort|openmp|aleatorio|262144|9|0,007569|1|32x1
bitonic_sort|openmp|aleatorio|262144|10|0,007548|1|32x1
bitonic_sort|openmp|aleatorio|1048576|1|0,023561|1|32x1
bitonic_sort|openmp|aleatorio|1048576|2|0,023310|1|32x1
bitonic_sort|openmp|aleatorio|1048576|3|0,024782|1|32x1
bitonic_sort|openmp|aleatorio|1048576|4|0,023655|1|32x1
bitonic_sort|openmp|aleatorio|1048576|5|0,024164|1|32x1
bitonic_sort|openmp|aleatorio|1048576|6|0,025110|1|32x1
bitonic_sort|openmp|aleatorio|1048576|7|0,023676|1|32x1
bitonic_sort|openmp|aleatorio|1048576|8|0,023826|1|32x1
bitonic_sort|openmp|aleatorio|1048576|9|0,023761|1|32x1
bitonic_sort|openmp|aleatorio|1048576|10|0,024050|1|32x1
bitonic_sort|openmp|aleatorio|4194304|1|0,092873|1|32x1
bitonic_sort|openmp|aleatorio|4194304|2|0,093630|1|32x1
bitonic_sort|openmp|aleatorio|4194304|3|0,093097|1|32x1
bitonic_sort|openmp|aleatorio|4194304|4|0,097359|1|32x1
bitonic_sort|openmp|aleatorio|4194304|5|0,095061|1|32x1
bitonic_sort|openmp|aleatorio|4194304|6|0,093625|1|32x1
bitonic_sort|openmp|aleatorio|4194304|7|0,093511|1|32x1
