algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
mergesort|cuda|rtx4090|100|10|0,101931|17,8593|11,38|OK
mergesort|cuda|rtx4090|10000|1|3,771427|661,282|288,42|OK
mergesort|cuda|rtx4090|10000|2|3,694055|656,7383|281,59|OK
mergesort|cuda|rtx4090|10000|3|2,931424|429,952|236,93|OK
mergesort|cuda|rtx4090|10000|4|2,921116|422,1402|238,54|OK
mergesort|cuda|rtx4090|10000|5|2,922433|420,3043|245,11|OK
mergesort|cuda|rtx4090|10000|6|2,92794|420,5888|242,59|OK
mergesort|cuda|rtx4090|10000|7|2,923629|418,9268|237,46|OK
mergesort|cuda|rtx4090|10000|8|2,923633|419,5121|243,28|OK
mergesort|cuda|rtx4090|10000|9|2,928436|419,762|240,96|OK
mergesort|cuda|rtx4090|10000|10|2,924941|420,5285|243,59|OK
mergesort|cuda|rtx4090|100000|1|25,395597|3595,7528|2020,61|OK
mergesort|cuda|rtx4090|100000|2|31,313027|5306,3251|2300,23|OK
mergesort|cuda|rtx4090|100000|3|32,039331|5577,0281|2399,79|OK
mergesort|cuda|rtx4090|100000|4|32,041302|5598,9651|2385,11|OK
mergesort|cuda|rtx4090|100000|5|32,088929|5595,4632|2335,93|OK
mergesort|cuda|rtx4090|100000|6|32,069867|5602,9653|2345,92|OK
mergesort|cuda|rtx4090|100000|7|32,111639|5615,5472|2398,18|OK
mergesort|cuda|rtx4090|100000|8|32,074717|5601,6452|2330,59|OK
mergesort|cuda|rtx4090|100000|9|32,100591|5609,6172|2394,83|OK
mergesort|cuda|rtx4090|100000|10|32,019259|5600,7506|2407,38|OK
mergesort|openmp|rtx4090|100|1|0,164946|6,4296|1,92|OK
mergesort|openmp|rtx4090|100|2|0,120269|4,7025|1,69|OK
mergesort|openmp|rtx4090|100|3|0,072207|2,8363|1,65|OK
mergesort|openmp|rtx4090|100|4|0,163679|6,426|1,84|OK
mergesort|openmp|rtx4090|100|5|0,168349|6,6043|1,89|OK
mergesort|openmp|rtx4090|100|6|0,169618|6,666|1,98|OK
mergesort|openmp|rtx4090|100|7|0,169716|6,6664|1,9|OK
mergesort|openmp|rtx4090|100|8|0,033665|1,32|3,64|OK
mergesort|openmp|rtx4090|100|9|0,168025|6,5933|1,95|OK
mergesort|openmp|rtx4090|100|10|0,153338|6,0247|1,82|OK
mergesort|openmp|rtx4090|10000|1|2,102554|82,4762|46,04|OK
mergesort|openmp|rtx4090|10000|2|2,740803|107,2111|34,42|OK
mergesort|openmp|rtx4090|10000|3|2,020231|79,1392|43,84|OK
mergesort|openmp|rtx4090|10000|4|2,721913|106,8532|34,42|OK
mergesort|openmp|rtx4090|10000|5|2,786463|109,5916|34,27|OK
mergesort|openmp|rtx4090|10000|6|1,991194|78,3834|45,04|OK
mergesort|openmp|rtx4090|10000|7|2,579226|101,14|35,22|OK
mergesort|openmp|rtx4090|10000|8|1,961702|76,9183|45,66|OK
mergesort|openmp|rtx4090|10000|9|2,640553|103,272|34,02|OK
mergesort|openmp|rtx4090|10000|10|1,970585|77,306|45,22|OK
mergesort|openmp|rtx4090|100000|1|18,052386|703,1024|382,61|OK
mergesort|openmp|rtx4090|100000|2|17,581512|683,1394|387,75|OK
mergesort|openmp|rtx4090|100000|3|18,213905|708,8085|373,22|OK
mergesort|openmp|rtx4090|100000|4|18,138861|708,2652|374,27|OK
mergesort|openmp|rtx4090|100000|5|17,329785|676,4682|384,01|OK
mergesort|openmp|rtx4090|100000|6|18,594089|723,9951|368,89|OK
mergesort|openmp|rtx4090|100000|7|18,408489|717,6792|374,82|OK
mergesort|openmp|rtx4090|100000|8|17,440356|680,8909|393,11|OK
mergesort|openmp|rtx4090|100000|9|17,51647|682,5487|380,01|OK
mergesort|openmp|rtx4090|100000|10|17,616779|686,9957|390,38|OK
quicksort|cuda|rtx4090|100|1|0,300815|51,7281|29,24|OK
quicksort|cuda|rtx4090|100|2|0,144408|24,9725|16,05|OK
quicksort|cuda|rtx4090|100|3|0,247103|43,7348|24,35|OK
quicksort|cuda|rtx4090|100|4|0,217939|37,3046|20,46|OK
quicksort|cuda|rtx4090|100|5|0,183241|31,4148|17,31|OK
quicksort|cuda|rtx4090|100|6|0,200935|34,2896|21,16|OK
quicksort|cuda|rtx4090|100|7|0,19713|34,5924|19,56|OK
quicksort|cuda|rtx4090|100|8|0,171695|30,0157|17,15|OK
quicksort|cuda|rtx4090|100|9|0,115164|19,7115|14,48|OK
quicksort|cuda|rtx4090|100|10|0,227339|39,6797|20,34|OK
